Territorio,Tipo de territorio,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Barcelona,Municipi,1.80,2.16,2.58,3.12,4.92,7.84,10.81,12.71,14.48,15.94,15.46,16.97,18.11,17.53,17.28,17.48,17.42,16.99,16.38,16.63,17.76,18.52,20.21,21.66,22.38,22.17,23.61,25.42,26.42
Ciutat Vella,Districte,6.97,8.60,10.36,12.38,19.00,28.13,35.65,39.36,42.51,44.20,43.15,43.95,43.85,41.33,41.26,42.21,43.10,43.02,42.62,43.24,45.12,46.33,49.36,51.56,52.64,51.77,52.27,53.99,54.79
el Raval,Barri,8.81,11.01,13.35,15.85,23.03,31.88,39.72,42.61,45.34,47.15,45.39,47.32,48.00,47.23,47.96,49.35,50.08,49.29,48.04,48.57,49.67,50.05,51.94,52.97,53.40,51.92,50.96,51.77,53.19
el Barri Gòtic,Barri,6.62,8.17,9.78,11.62,22.22,37.27,46.57,52.28,56.65,57.99,57.52,55.89,52.67,43.24,41.63,40.18,40.41,42.00,41.94,43.26,46.27,50.10,56.27,61.92,63.86,63.76,65.72,68.36,68.06
la Barceloneta,Barri,2.66,3.29,4.31,5.88,9.32,14.01,18.88,21.59,22.83,24.74,24.97,27.85,29.34,28.91,28.18,29.42,30.60,30.60,31.30,31.89,34.74,35.97,39.06,40.51,41.91,40.93,42.10,43.23,44.41
"Sant Pere, Santa Caterina i la Ribera",Barri,7.27,8.63,9.99,11.64,16.09,22.46,28.06,30.60,33.04,34.68,33.48,34.95,36.68,36.25,35.89,37.21,38.61,38.83,39.27,39.62,41.62,42.50,45.00,46.13,46.96,46.22,46.63,48.15,48.75
Eixample,Districte,2.02,2.43,2.88,3.47,5.39,8.31,11.18,13.07,14.95,16.38,15.70,17.12,18.51,18.07,17.82,18.25,18.63,18.56,18.19,18.69,20.26,21.09,22.88,24.36,25.35,25.63,27.12,28.95,29.90
el Fort Pienc,Barri,2.02,2.31,2.69,3.14,5.07,8.20,11.14,12.88,15.05,16.87,16.42,19.70,22.18,21.73,21.07,20.55,20.01,19.77,19.43,19.92,22.01,23.02,25.06,27.50,28.70,29.27,32.12,35.46,36.11
la Sagrada Família,Barri,1.49,1.88,2.38,3.02,5.37,8.52,11.08,12.84,14.40,15.66,15.05,16.46,17.59,16.89,16.95,17.67,18.03,17.59,17.03,17.84,19.26,20.41,22.10,23.64,24.68,24.74,26.11,28.07,29.08
la Dreta de l'Eixample,Barri,2.18,2.63,3.11,3.73,5.25,7.76,10.77,12.87,15.02,16.55,16.05,17.06,18.33,17.82,17.29,17.94,18.81,19.15,19.29,19.90,21.51,22.22,24.12,25.43,27.15,28.41,29.51,31.07,32.69
l'Antiga Esquerra de l'Eixample,Barri,2.52,3.06,3.56,4.14,6.00,8.95,12.13,13.90,15.94,17.29,16.47,18.02,19.60,19.05,18.64,19.16,19.54,19.29,18.69,19.19,20.84,21.81,24.02,25.52,26.57,26.64,28.42,30.21,30.73
la Nova Esquerra de l'Eixample,Barri,2.13,2.48,2.84,3.45,5.36,8.15,10.89,12.67,14.55,15.89,14.86,15.76,16.60,16.33,16.15,16.48,16.89,16.96,16.41,16.57,18.07,18.64,20.11,21.12,21.48,21.51,22.69,23.87,24.70
Sant Antoni,Barri,1.84,2.29,2.76,3.39,5.18,8.29,11.23,13.48,15.09,16.50,16.04,17.01,18.53,18.40,18.50,19.18,19.72,19.84,19.62,20.10,21.36,22.05,23.57,25.03,25.71,25.49,26.45,27.84,28.90
Sants-Montjuïc,Districte,1.60,2.05,2.47,3.10,5.14,8.46,11.98,14.09,16.01,17.81,17.07,18.92,20.16,19.82,19.79,20.27,20.09,19.39,18.50,18.70,19.68,20.32,22.26,23.80,24.40,23.92,25.14,27.04,28.39
el Poble-sec,Barri,2.27,3.10,4.06,5.10,8.57,13.90,19.42,21.95,24.59,26.68,25.27,27.48,28.57,28.03,28.75,30.23,30.68,29.94,29.14,29.32,30.68,31.23,33.33,34.44,35.35,34.57,34.64,35.65,37.14
la Marina del Prat Vermell,Barri,0.55,0.51,0.97,1.44,1.53,3.17,3.23,4.18,4.97,5.92,6.06,7.23,7.45,7.49,8.40,8.09,9.39,10.15,8.73,7.59,8.34,9.13,10.93,13.61,14.60,14.44,17.34,23.47,25.28
la Marina de Port,Barri,0.99,1.15,1.42,1.80,2.93,4.78,7.39,9.19,10.90,12.67,12.44,13.90,14.91,14.30,14.11,14.12,13.81,13.34,12.98,13.17,14.03,15.14,16.78,17.72,17.93,17.37,18.26,19.88,21.62
la Font de la Guatlla,Barri,1.68,1.89,2.22,2.91,4.49,7.40,9.96,12.21,15.18,17.05,17.42,17.55,18.72,18.50,18.29,18.48,18.85,18.49,18.39,18.44,19.39,19.28,21.27,21.83,22.52,23.70,25.36,26.38,27.68
Hostafrancs,Barri,2.28,2.83,3.01,3.51,5.44,9.05,13.83,15.66,17.65,19.36,18.27,20.28,21.49,21.21,20.88,22.51,22.25,21.31,20.38,20.87,22.11,23.27,24.88,25.91,26.74,26.76,27.39,28.68,31.50
la Bordeta,Barri,1.43,1.68,1.96,2.23,3.88,6.01,8.29,10.42,11.40,13.08,12.72,13.69,14.27,13.91,13.81,14.07,13.93,13.27,12.09,12.46,13.15,13.42,15.10,15.79,16.11,15.37,17.79,20.32,23.01
Sants - Badal,Barri,1.37,1.77,2.13,2.82,4.96,8.07,10.94,12.93,14.31,15.95,15.28,16.48,17.18,17.17,17.26,18.28,17.82,17.19,15.97,16.27,17.13,17.62,19.07,20.95,21.23,20.72,21.69,22.94,24.06
Sants,Barri,1.43,1.91,2.15,2.77,4.55,7.67,10.62,12.61,14.40,15.98,15.27,18.11,20.34,20.14,19.60,18.74,18.06,17.26,16.06,16.17,16.98,17.84,20.42,23.57,24.32,23.82,26.13,29.39,29.43
Les Corts,Districte,2.04,2.37,2.66,3.10,4.06,5.65,7.71,8.94,10.20,11.23,10.37,11.69,13.17,12.79,12.49,12.40,11.93,11.50,11.03,11.17,12.08,12.59,13.61,14.49,14.80,14.75,16.52,18.16,18.93
les Corts,Barri,1.69,1.99,2.26,2.60,3.54,4.86,6.84,8.09,9.36,10.35,9.38,11.28,13.17,12.87,12.56,12.04,11.18,10.88,10.32,10.41,11.07,11.64,12.86,13.83,14.08,13.90,15.59,17.36,17.94
la Maternitat i Sant Ramon,Barri,1.52,1.76,1.99,2.40,3.36,5.26,7.43,8.56,9.75,10.70,10.03,10.51,11.49,11.04,10.76,11.25,11.22,10.70,10.47,10.44,11.28,11.83,12.75,13.68,14.30,14.83,16.62,17.81,19.07
Pedralbes,Barri,4.69,5.29,5.77,6.69,7.71,9.68,11.76,13.15,14.49,15.86,15.04,15.78,16.57,16.03,15.69,16.13,16.31,15.53,14.95,15.60,17.48,17.75,18.23,18.72,18.64,17.86,19.84,21.82,22.32
Sarrià-Sant Gervasi,Districte,2.76,3.02,3.30,3.63,4.47,6.17,8.09,9.44,10.56,11.35,10.68,11.65,12.79,12.12,11.54,11.46,11.40,11.44,11.20,11.26,12.15,12.42,13.43,14.19,14.57,14.79,16.39,17.84,18.63
"Vallvidrera, el Tibidabo i les Planes",Barri,3.53,3.63,4.27,4.56,5.36,6.42,8.46,10.14,10.55,11.81,10.68,11.34,11.38,10.90,10.28,11.60,12.22,13.18,13.21,13.29,14.27,14.54,15.78,15.58,15.65,16.05,16.62,18.12,18.88
Sarrià,Barri,2.65,3.14,3.78,4.40,5.29,7.13,8.96,10.48,11.57,12.10,11.32,11.84,12.42,11.78,11.28,11.80,12.30,12.08,11.66,11.84,12.67,13.32,14.39,14.77,15.21,15.13,16.25,17.43,17.89
les Tres Torres,Barri,2.91,3.18,3.32,3.51,4.43,6.15,7.64,8.40,9.37,10.11,9.32,9.56,10.33,9.59,9.28,9.33,9.53,9.92,10.25,8.69,9.45,9.53,10.24,10.56,10.99,11.06,12.47,13.46,14.19
Sant Gervasi - la Bonanova,Barri,2.55,2.62,2.78,3.10,3.79,5.12,6.83,7.74,8.65,9.29,8.70,11.59,14.74,14.26,13.45,11.84,10.62,10.62,10.15,10.62,11.59,11.43,12.66,13.75,14.24,14.07,16.08,17.72,17.97
Sant Gervasi - Galvany,Barri,2.93,3.23,3.36,3.61,4.33,6.11,8.04,9.52,10.71,11.36,10.64,11.26,12.13,11.36,10.78,10.87,10.94,11.08,10.95,11.23,12.41,12.62,13.47,14.08,14.51,15.12,16.96,18.67,20.01
el Putxet i el Farró,Barri,2.59,2.78,3.13,3.46,4.52,6.32,8.71,10.36,11.70,13.02,12.56,13.34,14.02,13.29,12.68,12.94,12.96,12.79,12.34,12.51,12.99,13.48,14.63,16.04,16.19,16.41,17.95,19.29,19.94
Gràcia,Districte,1.75,2.07,2.41,2.89,4.25,6.81,9.30,11.13,12.74,13.97,13.48,15.13,16.71,16.50,15.72,15.84,15.67,15.42,15.03,15.35,16.37,16.97,18.46,19.73,20.56,20.99,22.38,24.15,25.02
Vallcarca i els Penitents,Barri,1.93,2.09,2.44,2.89,4.48,7.40,9.94,11.69,13.33,14.10,13.05,13.56,14.54,13.42,13.04,12.95,12.80,12.73,12.36,12.64,13.40,14.12,15.13,16.39,17.08,16.94,18.11,19.86,21.03
el Coll,Barri,1.52,1.69,1.81,2.47,3.40,5.66,8.67,10.26,11.38,13.07,11.66,13.18,14.23,13.93,14.65,15.03,14.92,14.36,14.01,13.77,14.34,14.84,16.16,18.14,19.17,19.04,20.17,22.15,23.29
la Salut,Barri,1.68,1.83,2.07,2.46,3.57,5.36,7.25,8.99,10.30,10.49,10.23,11.42,11.97,12.02,12.10,12.38,12.23,11.88,12.16,12.02,12.79,13.72,15.17,16.09,16.84,16.31,17.93,19.51,20.81
la Vila de Gràcia,Barri,2.09,2.59,2.93,3.45,4.92,7.95,10.61,12.78,14.75,16.26,16.08,18.64,21.02,21.16,19.55,19.23,19.16,18.98,18.72,19.12,20.45,20.82,22.34,23.63,24.48,25.13,26.29,27.74,28.55
el Camp d'en Grassot i Gràcia Nova,Barri,1.28,1.51,1.92,2.38,3.66,5.74,8.09,9.55,10.80,12.14,11.50,12.47,13.52,13.09,12.85,13.64,13.29,12.94,12.09,12.64,13.53,14.38,16.14,17.39,18.29,19.18,21.01,23.26,23.85
Horta-Guinardó,Districte,0.94,1.13,1.36,1.67,2.99,5.13,7.24,8.66,10.04,11.24,11.04,12.66,13.79,13.50,13.25,13.06,12.91,12.41,11.54,11.69,12.56,13.44,15.00,16.58,17.24,17.00,18.71,20.51,21.44
el Baix Guinardó,Barri,1.28,1.65,1.94,2.55,4.19,6.58,8.70,10.36,11.57,12.90,12.43,13.70,14.55,14.17,14.01,13.82,13.74,13.21,12.75,12.98,13.54,14.31,15.26,16.25,17.24,17.87,18.93,20.53,21.41
Can Baró,Barri,1.15,1.31,1.41,1.78,2.97,4.81,6.99,8.08,10.17,10.72,10.59,12.34,13.58,13.78,12.80,13.77,14.11,13.50,13.11,12.97,14.07,14.45,16.52,17.90,18.40,18.39,20.11,20.45,21.96
el Guinardó,Barri,1.16,1.41,1.79,2.04,3.53,5.78,8.16,9.50,10.80,12.38,12.39,13.60,14.76,14.59,14.37,14.40,14.74,13.92,12.90,13.10,13.85,14.72,16.12,17.23,17.67,17.50,18.90,20.28,21.47
la Font d'en Fargues,Barri,0.52,0.62,0.74,0.84,1.32,2.12,2.90,3.61,4.23,5.20,4.79,5.59,6.29,6.40,6.17,6.60,6.24,5.96,5.45,5.15,5.76,6.62,7.28,8.58,8.97,8.68,9.52,10.62,11.77
el Carmel,Barri,0.71,0.78,0.97,1.23,2.39,4.92,7.17,8.94,10.54,12.06,12.57,13.86,14.80,14.24,13.97,13.96,13.85,13.61,12.44,12.74,13.74,14.99,16.74,18.59,19.79,19.10,20.52,21.69,23.02
la Teixonera,Barri,1.01,1.29,1.64,1.83,4.05,6.35,9.77,11.73,13.57,14.22,13.10,14.89,15.84,15.48,14.90,15.03,14.74,13.09,12.03,12.14,13.58,14.14,15.97,17.95,18.32,18.02,19.39,21.03,22.48
Sant Genís dels Agudells,Barri,1.35,1.42,1.53,1.70,2.84,5.17,7.37,8.75,10.47,11.62,11.48,13.34,14.25,13.10,12.60,12.54,12.97,11.98,10.53,11.20,13.06,14.72,17.21,19.11,19.82,19.24,20.56,22.87,23.15
Montbau,Barri,0.57,0.66,0.87,1.31,2.90,5.23,8.39,9.51,10.21,11.14,9.84,10.32,10.55,10.21,11.13,11.02,11.27,10.86,10.24,9.90,11.51,12.61,13.77,15.56,16.17,16.29,18.34,20.05,21.56
la Vall d'Hebron,Barri,1.34,1.78,1.67,2.18,3.27,6.13,8.59,10.06,11.10,12.25,10.24,11.39,10.69,10.13,9.65,9.84,9.76,9.40,8.19,8.25,9.15,9.29,9.48,10.38,10.96,10.62,11.24,11.97,12.79
la Clota,Barri,0.89,2.39,3.00,2.83,5.03,7.89,10.15,10.39,11.55,15.16,15.32,15.16,20.26,19.43,22.63,23.23,23.01,20.15,16.61,13.05,10.64,12.48,13.85,15.37,15.47,13.90,14.59,13.20,16.71
Horta,Barri,0.54,0.64,0.81,1.02,2.04,3.50,4.65,5.69,7.02,7.73,7.73,11.17,13.46,13.44,13.28,11.70,10.48,10.68,9.97,10.20,10.75,11.46,13.79,16.26,16.55,16.01,19.80,23.76,23.60
Nou Barris,Districte,0.68,0.84,1.11,1.53,3.08,5.49,7.94,10.02,11.77,13.70,14.04,16.10,17.46,16.86,16.91,16.95,16.39,15.61,14.62,14.80,15.85,16.96,18.70,20.31,20.87,19.97,21.51,23.01,23.70
Vilapicina i la Torre Llobeta,Barri,0.79,1.03,1.22,1.62,3.13,5.75,7.96,9.53,10.72,11.94,11.71,12.66,13.72,13.03,13.22,13.17,13.40,12.58,12.12,12.37,13.13,13.76,15.15,16.03,16.29,15.81,17.29,18.23,18.87
Porta,Barri,0.86,1.01,1.17,1.58,3.50,5.44,6.68,8.27,9.22,10.82,11.20,14.81,18.42,17.98,17.53,16.52,15.48,14.93,13.39,13.53,14.99,16.74,20.16,24.02,25.05,24.16,27.29,31.36,31.24
el Turó de la Peira,Barri,0.86,1.16,2.38,3.52,5.75,8.70,12.43,15.35,18.27,20.76,20.97,22.44,23.61,23.13,22.83,23.85,23.14,22.14,20.24,19.99,20.92,21.85,23.13,24.81,25.35,24.39,25.08,25.91,27.37
Can Peguera,Barri,0.97,1.11,1.31,1.56,1.51,1.86,2.44,2.51,3.20,3.47,3.79,3.50,3.79,3.75,4.38,4.96,5.38,6.15,7.12,7.10,7.79,9.03,10.66,11.39,11.15,10.24,9.17,9.95,10.83
la Guineueta,Barri,0.43,0.58,0.69,0.99,1.86,3.17,4.82,5.64,6.20,6.49,6.15,6.99,7.40,7.66,8.09,8.01,7.75,7.54,7.05,7.28,7.96,8.27,9.62,10.65,11.40,10.70,11.96,12.51,13.69
Canyelles,Barri,0.29,0.36,0.38,0.47,0.69,1.73,2.82,3.00,3.70,4.44,5.01,5.50,5.58,4.65,5.07,5.41,5.15,4.76,4.01,4.29,4.41,4.69,5.91,6.71,6.59,7.16,7.87,8.62,8.93
les Roquetes,Barri,0.82,0.99,1.24,1.53,3.48,6.31,9.33,12.84,14.96,17.78,17.72,20.55,22.02,21.50,21.68,22.04,21.12,20.03,19.05,19.40,20.66,21.71,23.50,24.71,24.94,23.64,25.89,27.28,28.17
Verdun,Barri,0.96,1.15,1.26,1.67,4.10,7.57,9.64,11.44,12.62,14.65,14.72,16.98,17.84,17.27,17.28,18.05,18.12,17.82,16.89,17.59,18.67,19.72,21.85,23.22,24.07,22.93,24.17,24.91,25.35
la Prosperitat,Barri,0.54,0.64,0.84,1.13,2.52,5.29,7.51,9.05,10.64,12.31,12.60,14.32,15.38,15.06,15.17,15.25,14.96,13.97,13.01,13.47,14.67,15.89,16.60,17.58,18.06,17.34,18.72,19.86,21.22
la Trinitat Nova,Barri,0.36,0.46,0.70,1.16,2.36,4.53,7.62,11.21,13.67,16.68,18.03,19.63,20.64,19.66,19.18,18.82,18.41,17.85,17.57,17.62,18.75,20.96,23.08,24.48,24.51,23.08,24.23,24.85,25.26
Torre Baró,Barri,1.06,1.17,1.29,1.55,2.97,4.46,6.45,7.45,7.71,9.08,7.94,9.81,9.84,9.57,10.08,10.83,10.34,16.56,15.80,15.99,17.49,18.04,18.73,19.66,20.56,20.25,20.55,21.77,21.46
Ciutat Meridiana,Barri,0.38,0.45,0.65,1.20,2.52,5.45,12.23,17.86,23.71,28.98,32.18,36.54,37.69,35.50,35.78,35.50,32.85,29.86,27.99,27.36,28.45,30.06,31.60,32.77,33.32,31.33,31.08,31.07,31.10
Vallbona,Barri,1.25,0.88,1.48,1.84,2.78,5.78,4.91,6.11,7.98,10.91,9.56,11.54,10.78,11.68,11.54,12.91,14.17,12.14,12.29,11.67,12.40,13.29,15.00,16.12,17.13,16.41,17.59,17.40,18.53
Sant Andreu (Distrito),-,0.93,1.08,1.32,1.69,2.99,4.96,7.20,8.53,9.94,11.31,11.25,12.97,14.07,13.89,13.66,13.44,12.99,12.14,11.42,11.37,12.02,12.63,13.89,15.21,15.59,15.16,16.51,18.21,19.14
la Trinitat Vella,Barri,2.19,2.46,3.30,4.26,6.89,10.61,16.18,19.80,24.45,29.16,29.75,33.38,34.34,33.92,34.52,33.63,32.93,30.37,27.94,27.81,27.99,28.96,31.01,32.25,32.22,30.52,29.75,30.64,31.68
Baró de Viver,Barri,0.22,0.42,0.55,0.72,0.84,1.29,2.14,3.07,3.52,4.99,5.38,7.28,7.10,7.11,6.93,7.63,8.53,10.21,10.31,10.43,11.50,12.78,14.25,14.93,16.09,15.21,15.14,16.23,18.52
el Bon Pastor,Barri,0.37,0.41,0.59,0.84,1.66,3.46,6.62,8.14,10.00,12.27,13.37,19.47,23.43,22.96,21.85,18.68,15.37,14.14,12.64,12.76,13.18,14.72,17.48,20.92,22.02,21.59,26.34,31.19,30.99
Sant Andreu (Barrio),-,0.70,0.85,0.92,1.16,1.97,3.51,5.09,6.14,7.30,7.91,7.74,8.31,8.72,8.58,8.12,8.02,7.97,7.38,7.00,6.93,7.67,7.96,8.57,9.65,10.00,9.82,10.63,11.80,12.41
la Sagrera,Barri,1.28,1.36,1.69,2.25,3.77,5.78,7.87,9.17,10.03,11.35,10.94,12.15,12.97,13.11,13.33,13.66,13.35,12.57,12.03,11.69,12.34,13.11,14.34,15.44,15.68,15.89,17.80,19.18,20.77
el Congrés i els Indians,Barri,0.78,0.99,1.14,1.34,2.32,3.71,6.52,8.17,9.73,11.13,10.93,12.74,13.84,13.53,13.82,14.32,13.96,13.25,12.57,12.53,13.22,13.71,15.48,16.56,16.74,15.56,16.93,18.43,18.82
Navas,Barri,0.99,1.22,1.59,2.01,4.27,7.10,9.11,10.08,11.14,12.19,11.94,13.18,14.54,14.31,13.91,14.43,14.48,13.65,13.14,13.41,14.23,14.79,15.98,17.08,17.46,16.75,17.51,18.70,20.19
Sant Martí,Districte,1.12,1.36,1.70,2.08,3.40,5.75,8.27,9.96,11.69,13.23,13.03,14.65,15.84,15.69,15.60,15.87,15.91,15.58,15.07,15.37,16.55,17.40,18.98,20.39,21.10,21.21,22.94,25.03,26.16
el Camp de l'Arpa del Clot,Barri,1.55,1.85,2.37,2.64,4.61,7.54,10.44,11.88,13.83,15.30,14.70,15.74,16.34,15.72,15.30,15.65,15.77,15.40,15.10,15.33,16.54,17.52,19.15,20.74,21.54,21.21,22.53,23.94,25.16
el Clot,Barri,1.28,1.57,2.07,2.65,4.09,6.86,9.15,10.32,11.52,12.49,11.97,13.19,14.49,14.38,14.12,14.35,14.31,13.87,13.25,13.52,14.44,15.15,16.13,17.32,17.60,17.84,18.50,19.99,21.26
el Parc i la Llacuna del Poblenou,Barri,2.26,2.76,3.22,4.00,6.55,9.99,13.50,15.23,16.41,17.51,16.46,17.08,18.77,19.11,19.47,19.56,19.76,20.04,19.74,20.21,21.69,22.19,23.28,24.10,24.42,25.10,27.14,29.11,30.64
la Vila Olímpica del Poblenou,Barri,3.86,4.14,4.70,5.32,6.66,9.23,11.33,13.58,15.41,15.89,14.99,16.31,17.23,17.28,16.69,17.02,16.70,17.02,16.13,15.78,16.57,16.81,18.20,19.36,20.43,21.13,22.33,23.33,24.17
el Poblenou,Barri,1.10,1.26,1.81,2.31,3.97,6.58,9.06,10.94,12.51,13.97,13.81,15.10,16.28,16.18,15.98,16.77,17.22,16.94,16.62,16.74,17.67,18.12,19.83,21.09,21.96,22.53,23.60,25.41,26.54
Diagonal Mar i el Front Marítim del Poblenou,Barri,0.89,1.06,1.19,1.43,1.73,3.79,6.51,8.27,10.59,12.77,12.88,14.31,15.84,15.94,15.56,16.14,17.19,16.89,16.77,16.79,18.43,19.25,19.86,20.56,21.68,21.76,23.32,24.11,25.32
el Besòs i el Maresme,Barri,0.65,0.78,0.90,1.21,2.42,4.91,9.20,12.51,15.87,19.41,19.94,25.27,27.77,27.35,27.80,27.20,26.04,25.36,24.11,24.44,25.99,28.03,31.57,34.87,35.60,35.56,38.65,42.65,42.49
Provençals del Poblenou,Barri,1.00,1.34,1.61,1.84,2.67,4.97,7.04,8.00,9.83,10.91,11.20,11.90,13.01,13.38,13.28,13.39,13.57,13.03,12.44,13.19,14.11,14.82,16.29,17.37,17.84,17.60,19.32,20.56,21.82
Sant Martí de Provençals,Barri,0.57,0.77,0.89,1.14,1.85,3.19,4.72,6.00,7.31,8.91,8.84,10.14,10.94,10.71,11.12,11.16,11.22,10.97,10.41,10.94,12.39,12.64,13.76,14.62,15.34,15.29,17.07,18.71,20.06
la Verneda i la Pau,Barri,0.47,0.57,0.69,0.92,1.62,2.86,4.64,6.30,7.39,8.52,8.69,9.98,10.73,10.71,10.34,11.02,11.18,10.68,10.30,10.56,11.52,12.68,13.78,14.75,15.33,15.17,17.27,20.06,21.99